name,description,subscribers,url,username,tme_link,last_post
Салмачи - Куюки | Чат,Общая группа д.Куюки и п.Салмачи и близлежащих посёлков и ЖК.,10082,https://tgstat.ru/en/chat/@salmachi_online_chat,salmachi_online_chat,https://t.me/salmachi_online_chat,47 min
Ногинск Богородск,Здравствуйте дорогие Жители и гости прекрасного Богородского округа .,10002,https://tgstat.ru/en/chat/@noginsk150,noginsk150,https://t.me/noginsk150,2 hours
Городской Чат NorilskToday 18+,Самый крупный чат Норильска!Только для жителей 18+,9995,https://tgstat.ru/en/chat/@norilsk4at,norilsk4at,https://t.me/norilsk4at,49 min
Геническ в Теме,,9805,https://tgstat.ru/en/chat/@genichescvteme,genichescvteme,https://t.me/genichescvteme,64 min
Солнцево онлайн Чат,Чатик solncevo_online,9725,https://tgstat.ru/en/chat/@solncevo_online,solncevo_online,https://t.me/solncevo_online,46 min
Нагаево.инфо,Чаты -  https://telegra.ph/Spisok-chatov-10-05,9599,https://tgstat.ru/en/chat/@nagaevo_info,nagaevo_info,https://t.me/nagaevo_info,53 min
Ньюсач/Двач - редакция,Новости,9547,https://tgstat.ru/en/chat/@ru2chnews,ru2chnews,https://t.me/ru2chnews,46 min
Наш Климовск,В чате присутствуют представители администрации г.о. Подольск и правительства Московской области.,9352,https://tgstat.ru/en/chat/@nash_klimovsk,nash_klimovsk,https://t.me/nash_klimovsk,48 min
Яменсков Александр Иванович | Заместитель главы Новороссийска,,9347,https://tgstat.ru/en/chat/@yamenskov_a_i,yamenskov_a_i,https://t.me/yamenskov_a_i,32 days
Чат большой воронежский,Поделиться новостью/связь с админом: @FirstVoronezh_bot,9314,https://tgstat.ru/en/chat/@voronezh_news_chat,voronezh_news_chat,https://t.me/voronezh_news_chat,51 min
СОЛИКАМСК LIVE [чат],Ссылку на чат отправляйте друзьям или воспользуйтесь функцией «Добавить участников»,9259,https://tgstat.ru/en/chat/@solikamsk_live_chat,solikamsk_live_chat,https://t.me/solikamsk_live_chat,41 min
Краснознаменск 💖 Чат,Реклама в группе: @v_krasnoznamenske_ru,9191,https://tgstat.ru/en/chat/@vkrasnoznamenske_ru,vkrasnoznamenske_ru,https://t.me/vkrasnoznamenske_ru,45 min
TOPOR,Чат закрыт. Наш основной канал — https://t.me/+BwU7U4PI27k2OTNi,9175,https://tgstat.ru/en/chat/@topor18,topor18,https://t.me/topor18,15 hours
Ачинцы,,9154,https://tgstat.ru/en/chat/@achinsk_town,achinsk_town,https://t.me/achinsk_town,48 min
