name,description,subscribers,url,username,tme_link,last_post
Повёрнутые на войне 🇷🇺,Предложка и вопросы: @voenacher_zov_bot,735415,https://tgstat.ru/en/channel/@voenacher,voenacher,https://t.me/voenacher,54 min
"Радар по всей России | БПЛА, ракеты, самолёты","Информационный источник, созданный для оперативного оповещения населения о воздушных угрозах на территории России",733358,https://tgstat.ru/en/channel/@radarrussiia,radarrussiia,https://t.me/radarrussiia,43 min
РБК. Новости. Главное,"Официальный канал РБК. Самые важные новости, только проверенная информация.",679594,https://tgstat.ru/en/channel/@rbc_news,rbc_news,https://t.me/rbc_news,32 min
Zлой Пруф️,"Никого не жалко, никого!",677668,https://tgstat.ru/en/channel/@proofzzz,proofzzz,https://t.me/proofzzz,55 min
Жесть Белгород,Главный канал Белгородской области!,632561,https://tgstat.ru/en/channel/@zhest_belgorod,zhest_belgorod,https://t.me/zhest_belgorod,82 min
Военный Осведомитель,НОВОСТИ ОТЕЧЕСТВЕННЫХ И ЗАРУБЕЖНЫХ ВООРУЖЕННЫХ СИЛ,606652,https://tgstat.ru/en/channel/@milinfolive,milinfolive,https://t.me/milinfolive,36 min
Ньюсач/Двач,Новости,566872,https://tgstat.ru/en/channel/@ru2ch,ru2ch,https://t.me/ru2ch,26 min
КК,Реклама: @pr_kk,565557,https://tgstat.ru/en/channel/@petrovtel,petrovtel,https://t.me/petrovtel,44 min
Kotsnews,"Военкор ""Комсомольской правды"" Александр Коц.",560328,https://tgstat.ru/en/channel/@sashakots,sashakots,https://t.me/sashakots,83 min
ЁЖ - О БЛОГЕРАХ,"Сплетни , эксклюзивные интервью , новости.",548409,https://tgstat.ru/en/channel/@tgezh,tgezh,https://t.me/tgezh,2 days
ЧП БЕЛГОРОД НОВОСТИ ЖЕСТЬ,"Все новости, Война и Чрезвычайные Происшествия  в Белгороде 18+",545028,https://tgstat.ru/en/channel/@voina2022021,voina2022021,https://t.me/voina2022021,24 min
KOSTI,Перемываем Кости шоу-бизнеса,541933,https://tgstat.ru/en/channel/@kosti,kosti,https://t.me/kosti,2 hours
ТАСС,Официальный канал агентства ТАСС https://tass.ru,533653,https://tgstat.ru/en/channel/@tass_agency,tass_agency,https://t.me/tass_agency,24 min
Кирилл Фёдоров / Война История Оружие,Реклама - @dmakarow,523064,https://tgstat.ru/en/channel/@warhistoryalconafter,warhistoryalconafter,https://t.me/warhistoryalconafter,28 min
Питер Live,"Подпишись, чтоб не потерять.",516229,https://tgstat.ru/en/channel/@live_piter,live_piter,https://t.me/live_piter,2 hours
НовоСТайм | Федеральные новости,Самые горячие новости России. Мы узнаём обо всём первыми!,509415,https://tgstat.ru/en/channel/@nowostime,nowostime,https://t.me/nowostime,4 hours
#МОНТЯН!,Официальный канал Татьяны Монтян,508406,https://tgstat.ru/en/channel/@montyan2,montyan2,https://t.me/montyan2,2 hours
ЗАРУБИН,Журналист телеканала «Россия»,483135,https://tgstat.ru/en/channel/@zarubinreporter,zarubinreporter,https://t.me/zarubinreporter,2 hours
Телеканал Дождь,"Прислать новость, разместить рекламу, позвонить в эфир: @raintvbot",470683,https://tgstat.ru/en/channel/@tvrain,tvrain,https://t.me/tvrain,31 min
СИГНАЛ,Честно и оперативно каждый день,468742,https://tgstat.ru/en/channel/@ssigny,ssigny,https://t.me/ssigny,23 min
Можем объяснить,Почта - mozhemobyasnit@proton.me,466843,https://tgstat.ru/en/channel/@mozhemobyasnit,mozhemobyasnit,https://t.me/mozhemobyasnit,47 min
ЧТД,Бот обратной связи: @nemesis_fb_bot,450068,https://tgstat.ru/en/channel/@chtddd,chtddd,https://t.me/chtddd,43 min
Москва 24,Регистрация в реестре РКН: https://knd.gov.ru/license?id=6763b55796de59064d0d5d9c&registryType=bloggersPermission,449072,https://tgstat.ru/en/channel/@infomoscow24,infomoscow24,https://t.me/infomoscow24,59 min
Война с фейками,Опровергаем фейки с 2022 года.,448199,https://tgstat.ru/en/channel/@warfakes,warfakes,https://t.me/warfakes,27 min
Оркестр Вагнера | Wagner,,443566,https://tgstat.ru/en/channel/@orchestra_w,orchestra_w,https://t.me/orchestra_w,52 min
Москва • Новости • Москвик,‍️Нахожу для вас актуальные события и новости,428980,https://tgstat.ru/en/channel/@moskvik,moskvik,https://t.me/moskvik,2 hours
Москва сейчас,Главный Телеграм-канал про Москву.,428394,https://tgstat.ru/en/channel/@moscowow,moscowow,https://t.me/moscowow,47 min
Вечерний Телеграмъ,"Объективность, достоверность, оперативность — основа нашей редполитики. Делаем новости, которым доверяют.",426161,https://tgstat.ru/en/channel/@tele_eve,tele_eve,https://t.me/tele_eve,36 min
С МЕСТА СОБЫТИЯ,Оперативные новости. Инсайды. Эксклюзивы.,414153,https://tgstat.ru/en/channel/@smestanews,smestanews,https://t.me/smestanews,67 min
Москва Live,"Новости, события, места и секретные лайфхаки нашего города.",413958,https://tgstat.ru/en/channel/@mosclive,mosclive,https://t.me/mosclive,73 min
Социальный фонд России,Добро пожаловать в официальный канал Социального фонда России!,401991,https://tgstat.ru/en/channel/@sfr_gov,sfr_gov,https://t.me/sfr_gov,2 days
BBC News | Русская служба,Официальный канал,401539,https://tgstat.ru/en/channel/@bbcrussian,bbcrussian,https://t.me/bbcrussian,40 min
Иван Утенков | Новости,️О самом важном!,400540,https://tgstat.ru/en/channel/@ivan_utenkov13,ivan_utenkov13,https://t.me/ivan_utenkov13,52 min
